img_path,description,label_id,label
imgamazon\61uakkLoHxL._AC_SL1500_.jpg,"About this item
MOVE IT. REMOVE IT. IMPROVE IT: Take a great pic, then make it better using Photo Assist¹ with Galaxy AI,² It gives you suggestions for improving your photo and makes it easier to move, remove or resize objects for post-worthy pics every time.
NEVER BE LOST IN TRANSLATION AGAIN: Understand text, calls and in-person conversations in another language using real-time translations¹ with Galaxy AI.²
SLOW-MO MADE SIMPLE: Sometimes you just want to make the moment last longer. Using Instant Slow-Mo¹ with Galaxy AI,² simply tap and hold to replay any video in epic slow motion.
DO MORE W/ EPIC BATTERY POWER: Do what you love, whether work or play, without worrying about your battery. Galaxy S24 FE intuitively manages your apps to make your charge last longer.?.
CAPTURE HIGHLIGHTS IN LOW LIGHT: Poorly lit portraits? Not anymore. Bring details out of the dark with Night Portrait. Using AI,² your Galaxy S24 FE can analyze and optimize your low-light shots and make them shine.",1,Smartphones
imgamazon\61n0lmxP5-L._AC_SL1500_.jpg,"About this item
MULTIPLE TASKS WITH ONE ASK: Streamline your day with an assistant that gets you. Ask it to Google search for a pet-friendly vegan restaurant nearby and text it to your friend— your Galaxy S25 Ultra handles multiple tasks with a single ask.¹
START THE DAY SMARTER: Stay one step ahead with a phone that gives you the info you need before you even know you need it with Now Brief.²
REDUCE THE NOISE. REVEAL THE MAGIC: AI Camera with Audio Eraser lets you capture vibrant videos in low light and minimize unwanted noises so you can relive your favorite moments with fewer distractions.³
BRING OUT THE BEST IN EVERY FACE: Capture every portrait with clarity and confidence on the Galaxy S25 Ultra. The advanced portrait features adjust skin tones and preserve natural textures, giving every shot a polished, professional look.
SWITCHING IS QUICK & EASY: With Smart Switch, you can move your pics, videos, music, apps, contacts and convos to their new home, safely and securely, in just a few simple steps.",1,Smartphones
imgamazon\71KGkQ+KOKL._AC_SL1500_.jpg,"About this item
LAUNCH BUNDLE: Get a $25 Amazon Gift Card when you order the new Samsung Galaxy A16 5G now; select the Gift Card Bundle variation for redemption. Offer ends 1/19
CRISP DETAIL. VIVID POSSIBILITIES: The ultra-clear 6.7"" display¹ of Galaxy A16 5G helps bring your content to life whether you’re checking emails or reading online blogs and recipes.
MEMORIES MADE PICTURE PERFECT: Capture every angle in stunning clarity, from big group shots to close-ups, with the triple-lens camera on Galaxy A16 5G.
MORE DURABLE THAN EVER BEFORE: Take on your day with confidence, thanks to the awesome durability of Galaxy A16 5G with an improved IP54 rating.²
HEALTH INSIGHTS MADE EASY: Stay connected to your health with Galaxy A16 5G and Fit3. Track your steps, sleep and heart rate³ and then see it all in one place with the Samsung Health app.
AWESOME EXPERIENCE. AWESOME VALUE: Galaxy A16 5G offers essential features and practical extras designed to enhance your everyday life — all at a price you’ll love.
PAYING MAD EASY: Pay with a tap, plus store your cards and ID all in one app with Samsung Wallet.? ?",1,Smartphones
imgamazon\71CxUvG46rL._AC_SL1500_.jpg,"About this item
6.5"" HD+ 90Hz Display with Corning Gorilla Glass 3. / Snapdragon 680 processor.
50MP sensor with Quad Pixel Photo Night Vision. / Dolby Atmos and Hi-Res Audio.
5,000mAh battery for up to 46 hours of battery life. / 64GB of storage + 1TB more with microSD card. / 4GB RAM, expandable up to 6GB with RAM Boost.
Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network. A Tracfone plan is required to activate this device. Activating is easy, upon receipt go to Tracfone Website and select “Activate” and follow the prompts.
Compatible with our no-contract Unlimited Talk & Text plus Data plans starting as low as $20/month plus taxes and fees. To find the Tracfone Plans available to purchase, please go to our TF - Amazon Brand Page linked below the product title.",1,Smartphones
imgamazon\61fh21u3DJL._AC_SL1500_.jpg,"About this item
Google Pixel 9 with Gemini gets the best of Google AI first, so you can take amazing photos, make edits like magic, and get things done even easier
Unlocked Android phone gives you the flexibility to change carriers and choose your own data plan[1]; it works with Google Fi, Verizon, T-Mobile, AT&T, and other major carriers
The award-winning Pixel Camera includes a 50 MP main sensor for incredible image and video quality, and a new 48 MP ultrawide camera for stunning Macro Focus
Make your photos better than you can imagine with Google AI; take a picture and be in it too with Add Me[2]; Best Take helps everyone look their best; and with Magic Editor, you can reframe photos, reimagine the scenery, and more[2]
Get more info quickly with Gemini, your built-in AI assistant[3]; instead of typing, use Gemini Live; it follows along even if you change the topic or switch the question[30]; and Pixel Screenshots helps you save things you’ll want to remember later",1,Smartphones
imgamazon\61LE9-6KxdL._AC_SL1500_.jpg,"About this item
NEW built-in stylus. Jot notes, edit photos, sketch artwork, and navigate effortlessly with an improved stylus and updated software.
6.7"" pOLED display and Dolby Atmos. Experience cinema-quality entertainment with over a billion shades of color and multidimensional sound*.
50MP Ultra Pixel camera + OIS. Capture sharper low-light photos and smoother videos with an unshakable camera system featuring Optical Image Stabilization.
30W TurboPower charging + over a day battery. Get hours of power in just minutes of charging, then work and play with unbelievable battery life**.
Standout design. Make a statement with its stunning look, modern color, and soft, vegan leather finish.
256GB storage + RAM Boost. Hold your everyday inspirations along with photos, songs, and movies—you can even use extra storage to boost performance***.
*Dolby, Dolby Atmos, and the double-D symbol are registered trademarks of Dolby Laboratories Licensing Corporation. Manufactured under license from Dolby Laboratories.",1,Smartphones
imgamazon\61TTdTnaEeL._AC_SL1500_.jpg,"About this item
Immersive 120Hz display* and Dolby Atmos: Watch movies and play games on a fast, fluid 6.6"" display backed by multidimensional stereo sound.
50MP Quad Pixel camera system**: Capture sharper photos day or night with 4x the light sensitivity—and explore up close using the Macro Vision lens.
Superfast 5G performance***: Unleash your entertainment at 5G speed with the Snapdragon 4 Gen 1 octa-core processor.
Massive battery and speedy charging: Work and play nonstop with a long-lasting 5000mAh battery, then fuel up fast with TurboPower.****
Premium design within reach: Stand out with a stunning look and comfortable feel, including a vegan leather back cover that’s soft to the touch and fingerprint resistant.
Tons of built-in ultrafast storage: Get plenty of room for photos, movies, songs, and apps—and add up to 1TB with a microSD card*****
*A minimum device refresh rate of 60Hz and a maximum refresh rate of 120Hz; actual refresh rate may be less and will vary based on app/content limitations and requirements, device mode settings, and other factors.",1,Smartphones
imgamazon\61xk4XNRktL._AC_SL1500_.jpg,"About this item
Blazing-fast Qualcomm performance. Get the speed you need for great entertainment with a Snapdragon 680 processor and 4GB**** of RAM.
Fluid display + immersive stereo sound. Bring your entertainment to life with an ultrawide 6.5"" 90Hz* HD+ display plus stereo speakers, Dolby Atmos, and Hi-Res Audio**.
50MP*** Quad Pixel camera. Capture sharper, more vibrant photos day or night with 4x the light sensitivity.
64GB**** built-in storage. Get plenty of room for photos, movies, songs, and apps—and add up to 1TB more with a microSD card*****.
Unbelievable battery life. Work and play nonstop with a long-lasting 5000mAh battery.*****
Sleek and stylish design. Thoughtfully crafted from premium materials, featuring a streamlined look, durable matte finish, and splash protection******.
*Auto mode has a minimum device refresh rate of 60Hz and a maximum refresh rate of 90Hz; actual refresh rate may be less and will vary based on app/content limitations and requirements, device mode settings, and other factors. **May be used with Hi-Res compatible wired headphones and apps only. Check applicable devices and apps to determine compatibility.",1,Smartphones
imgamazon\31bNhi6E3eL._AC_.jpg,"
Brand	SAMSUNG
Operating System	Android 13.0
Ram Memory Installed Size	6 GB
CPU Model	MediaTek Helio
CPU Speed	2 GHz
Memory Storage Capacity	128 GB
Screen Size	6.5 Inches
Resolution	1080 x 2340
Wireless Carrier	Unlocked
Cellular Technology	4G",1,Smartphones
imgamazon\71YwZXmVcEL._AC_SL1500_.jpg,"About this item
CIRCLE IT, SEARCH IT, FIND IT. JUST LIKE THAT: What’s your favorite influencer wearing? Where’d they go on vacation? What’s that word mean? Don’t try to describe it — use Circle to Search with Google¹ and get the answer in a snap
OUR BRIGHTEST GALAXY A SERIES SCREEN YET: Thanks to Vision Booster, the screen seamlessly adjusts to your surroundings so you can enjoy uninterrupted streaming, gaming or browsing² even on the sunniest afternoon
STUNNING SHOTS. VIVID VIDEO: Advanced triple-lens camera of turns every moment into a masterpiece; With high-res photos & high-definition video, it’s easy to capture awe-worthy content and optical image stabilization lets you capture it blur-free
CAPTURE THE NIGHT LIKE NEVER BEFORE: Your nights just became a whole lot brighter with Galaxy A35 5G; Whether it’s fireworks, birthday candles or smiles under the stars, low-light photos and videos look clear as day with stunning Nightography
NOW THERE’S EVEN MORE IN STORE: Enjoy big storage for big memories; With an upgraded internal storage of 128GB and up to 1TB expandable storage³; A35 5G keeps all your memories close without worry of running low on space",1,Smartphones
